date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:04	1102/1102	---M--	200	added ('OK')	image/png	etag:%227e654ee62e4c3b074f1810648dc08821-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/b1.png	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/b1.png	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:04	1338/1338	---M--	200	added ('OK')	image/png	etag:%22b7199562153febd9e888be907944ae45-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/b2.png	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/b2.png	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:05	1320/1320	---M--	200	added ('OK')	image/png	etag:%2228ea4f87d58af911bcaf4d24cdca73c0-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/b3.png	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/b3.png	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:06	1247/1247	---M--	200	added ('OK')	image/png	etag:%227bd63004465188aad2a52b624e7f135d-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/b4.png	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/b4.png	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:07	1261/1261	---M--	200	added ('OK')	image/png	etag:%22a7d5af84f475ab0156a756b9063b60df-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/b5.png	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/b5.png	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:08	1203/1203	---M--	200	added ('OK')	image/png	etag:%2218671de98727fa3f83cdb4ab847ae93c-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/b6.png	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/b6.png	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:08	1231/1231	---M--	200	added ('OK')	image/png	etag:%22c7dce70fc1ab81b57e1067d93e748850-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/b7.png	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/b7.png	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:09	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:%22115c7773f97ad79f3a457136e0b00f1f-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/js/jquery-3.3.1.min.js	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:10	50731/50731	---MCZ	200	added ('OK')	application/javascript	etag:%22f18929d35cdc480c3eed5e1232186cb6-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/js/bootstrap.min.js	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/js/bootstrap.min.js	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:11	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:%222edf067a74d8a32590b7ed2b7c8c1782-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/js/slick.min.js	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/js/slick.min.js	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:13	15965/15965	---MCZ	200	added ('OK')	application/javascript	etag:%227eb86d3bd19c1f0411514b43f90cd317-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/js/jquery.isotope.min.js	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/js/jquery.isotope.min.js	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:14	5033/5033	---MCZ	200	added ('OK')	application/javascript	etag:%22639e6b4c1ef9b0dc61bfbc7a8ecdf634-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/js/circular.js	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/js/circular.js	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:15	4437/4437	---MCZ	200	added ('OK')	application/javascript	etag:%22fb93fad3ed54387b8ba4b414fd890c25-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/js/custom.js	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/js/custom.js	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:16	165742/165742	---MCZ	200	added ('OK')	application/octet-stream	etag:%22670d0261d477f71c2268096be22f2666-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfont3e6e.eot	(from https://epiktheme.netlify.app/html/preminum/demo/css/font-awesome.min.css)
12:16:17	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%22ba519d0c4a1fddfeba21b4978aef2a69-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfont3e6e.woff2	(from https://epiktheme.netlify.app/html/preminum/demo/css/font-awesome.min.css)
12:16:17	165742/165742	---M-Z	200	added ('OK')	application/octet-stream	etag:%22670d0261d477f71c2268096be22f2666-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfontd41d.eot	(from https://epiktheme.netlify.app/html/preminum/demo/css/font-awesome.min.css)
12:16:18	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:%22faf303e652f9f3693d19444980bf90fd-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfont3e6e.woff	(from https://epiktheme.netlify.app/html/preminum/demo/css/font-awesome.min.css)
12:16:19	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%22adffe3119fefafa8b9dcdc35a824e72e-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfont3e6e.ttf	(from https://epiktheme.netlify.app/html/preminum/demo/css/font-awesome.min.css)
12:16:19	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:%22a1b78d862a0378992d184fb3dd42702f-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/fonts/fontawesome-webfont3e6e.svg	(from https://epiktheme.netlify.app/html/preminum/demo/css/font-awesome.min.css)
12:16:20	140012/140012	---M--	200	added ('OK')	font/ttf	etag:%221cec3b7e184d19b346fac667198868e9-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/fonts/Poppins-Bold.ttf	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/fonts/Poppins-Bold.ttf	(from https://epiktheme.netlify.app/html/preminum/demo/css/style.css)
12:16:21	138920/138920	---M--	200	added ('OK')	font/ttf	etag:%22de65916ba1735269d47ee2228eaff3be-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/fonts/Poppins-ExtraBold.ttf	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/fonts/Poppins-ExtraBold.ttf	(from https://epiktheme.netlify.app/html/preminum/demo/css/style.css)
12:16:21	144064/144064	---M--	200	added ('OK')	font/ttf	etag:%22331be04fe80d6be7438627e579555c5c-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/fonts/Poppins-Regular.ttf	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/fonts/Poppins-Regular.ttf	(from https://epiktheme.netlify.app/html/preminum/demo/css/style.css)
12:16:22	145180/145180	---M--	200	added ('OK')	font/ttf	etag:%22e69c3e06c61337ae58a4ecb9593c1b16-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/fonts/Poppins-Light.ttf	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/fonts/Poppins-Light.ttf	(from https://epiktheme.netlify.app/html/preminum/demo/css/style.css)
12:16:23	93028/93028	---M--	200	added ('OK')	image/jpeg	etag:%2231f8c56a5d50678c4e638b6f95a2173e-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/count1.jpg	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/count1.jpg	(from https://epiktheme.netlify.app/html/preminum/demo/css/style.css)
